,Default,checkingstatus1,duration,history,purpose,amount,savings,employ,status,others,residence,property,age,otherplans,housing,cards,job,liable,foreign
45,0,3,-0.8187216272556802,4,0,-0.6531517737812153,0,1,1,0,4,2,-0.05563506019001937,2,1,1.0342230879313794,3,1.0,0
46,0,3,1.2385045116311852,2,3,-0.3371975289747613,2,4,2,0,4,2,0.29335723447345396,2,1,-0.6983868084555068,2,1.0,0
47,0,0,-1.2301668550330533,2,1,-0.6674499239325007,2,0,1,0,2,1,-1.1026119441804394,2,0,-0.6983868084555068,0,1.0,0
48,0,3,-0.8187216272556802,4,0,1.3817191075053836,0,2,2,0,4,1,0.29335723447345396,2,1,1.0342230879313794,1,1.0,0
49,0,3,-0.7364325817002055,2,3,-0.416011722491603,1,2,1,1,2,0,-0.6663715758510977,2,1,-0.6983868084555068,2,1.0,0
53,0,3,-0.24269830836735784,2,1,0.03908793476272632,4,2,2,0,1,1,-0.4046273548534927,2,1,-0.6983868084555068,2,1.0,0
54,1,1,1.2385045116311852,3,0,-0.3630039463209838,0,4,2,0,4,3,1.8638225604590841,0,2,1.0342230879313794,2,1.0,0
55,0,3,-1.2301668550330533,1,0,-0.8658803492027791,4,2,2,2,2,0,-0.8408677231828344,1,1,-0.6983868084555068,1,2.0,0
56,1,1,-0.7364325817002055,2,3,1.1166802266522877,4,0,2,0,1,3,1.4275821921297425,2,1,-0.6983868084555068,3,1.0,0
57,0,3,1.2385045116311852,4,3,2.1970624014981976,0,2,1,0,2,2,-0.4046273548534927,1,1,1.0342230879313794,2,1.0,0
58,0,2,-0.24269830836735784,2,0,-0.4550700838804803,0,4,1,0,2,2,-1.1026119441804394,2,1,-0.6983868084555068,3,1.0,0
59,1,0,1.2385045116311852,4,2,1.0333324733313798,0,1,1,1,4,3,-1.1026119441804394,2,0,1.0342230879313794,1,1.0,0
60,0,1,-0.9832997183666294,2,9,-0.6538492445203024,0,2,3,0,1,0,-0.753619649516966,0,1,-0.6983868084555068,2,1.0,0
61,0,1,-0.4895654450337817,4,3,-0.6029338805669444,4,4,2,2,4,0,1.2530860447980057,2,1,1.0342230879313794,2,1.0,0
62,1,1,1.2385045116311852,0,9,-0.45785996683682867,0,4,2,0,4,3,2.2128148551225575,2,2,-0.6983868084555068,3,1.0,0
63,1,1,2.225973058296881,0,9,3.8901726206321197,0,2,2,0,2,2,-0.9281157968487027,2,1,-0.6983868084555068,2,1.0,0
64,0,3,0.25103596496548986,2,3,-0.029612933037352514,0,1,1,0,4,1,-0.8408677231828344,2,1,-0.6983868084555068,2,1.0,0
65,0,3,0.4979031016319137,2,5,0.6709964243756341,4,4,2,0,4,1,1.078589897466269,2,1,4.499442880705152,2,2.0,0
66,0,3,-0.7364325817002055,2,3,-0.38183565627633537,0,1,1,0,2,2,-0.5791235021852293,0,1,-0.6983868084555068,2,1.0,0
67,0,1,-0.7364325817002055,2,0,-0.7877636264250245,3,2,3,0,1,0,-1.1898600178463077,2,1,-0.6983868084555068,2,1.0,0
68,1,3,1.2385045116311852,2,6,-0.504590506355664,0,2,2,0,4,3,0.11886108714171731,1,2,-0.6983868084555068,2,1.0,0
69,0,3,1.2385045116311852,2,3,-0.3040676688681243,4,2,1,0,4,2,-0.9281157968487027,2,1,-0.6983868084555068,2,1.0,0
70,0,3,1.2385045116311852,2,1,1.697324616942294,0,2,1,0,2,1,-0.49187542851936106,0,1,-0.6983868084555068,2,1.0,0
71,0,3,-1.1478778094775786,4,3,-0.8843633237885872,4,4,2,0,2,1,0.9040937501345323,2,0,1.0342230879313794,1,1.0,0
72,0,0,-1.065588763922104,4,10,-0.7330121734066876,0,4,2,0,4,3,1.340334118463874,0,2,1.0342230879313794,3,2.0,0
73,0,1,1.732238784964033,4,9,0.9374302467069043,0,3,1,0,1,0,0.46785338180519065,0,1,1.0342230879313794,1,1.0,0
74,1,0,1.2385045116311852,2,6,-0.44949031796778355,4,4,2,0,4,3,0.3806053081393223,2,1,-0.6983868084555068,3,1.0,0
75,0,0,-0.7364325817002055,4,1,-0.6067699696319234,0,4,2,0,4,3,2.649055223451899,2,2,1.0342230879313794,3,1.0,0
76,1,0,1.732238784964033,2,3,0.24379559668478862,0,1,2,0,3,2,-0.14288313385588772,2,1,-0.6983868084555068,2,1.0,0
77,0,1,-0.8187216272556802,3,3,0.5248763045368878,0,3,2,0,4,1,1.340334118463874,2,1,-0.6983868084555068,2,1.0,0
78,0,3,2.7197073316297287,0,1,2.151726803457536,4,2,2,0,2,1,0.29335723447345396,2,1,-0.6983868084555068,1,2.0,0
79,0,1,0.7447702382983376,2,2,0.19741379253549682,0,1,3,0,1,1,-1.1898600178463077,2,1,-0.6983868084555068,2,1.0,0
80,1,3,0.25103596496548986,2,3,0.9335941576419253,4,1,1,0,1,2,0.7295976028027957,2,1,1.0342230879313794,2,1.0,0
81,0,3,-0.4895654450337817,2,3,-0.7159241402990537,2,4,2,0,3,1,0.9913418238004007,1,1,-0.6983868084555068,2,1.0,0
82,0,3,-0.24269830836735784,2,9,-0.5921230841110944,1,2,1,0,4,1,-1.015363870514571,2,0,-0.6983868084555068,1,1.0,0
85,0,3,-0.7364325817002055,4,9,-0.6465258017598878,0,2,1,2,2,0,-0.5791235021852293,2,1,1.0342230879313794,3,1.0,0
86,0,1,-0.24269830836735784,4,2,-0.6873278399964828,0,1,1,0,1,1,-0.753619649516966,2,1,1.0342230879313794,2,1.0,0
87,1,1,1.2385045116311852,2,6,3.2593103371278422,1,2,2,0,4,3,0.9913418238004007,2,2,-0.6983868084555068,2,2.0,0
88,0,0,-0.24269830836735784,2,0,-0.35463429745193864,1,3,2,0,3,2,-0.49187542851936106,2,1,-0.6983868084555068,3,2.0,0
89,1,0,-0.7364325817002055,0,5,-0.7525413541011262,0,3,2,0,3,0,-0.6663715758510977,2,1,1.0342230879313794,2,1.0,0
90,0,3,-0.7364325817002055,4,3,-0.9234216851774645,0,4,2,0,4,0,1.7765744867932158,2,1,-0.6983868084555068,2,1.0,0
91,0,0,-0.7364325817002055,4,1,-0.6475720078685184,0,4,2,0,3,0,1.602078339461479,2,1,-0.6983868084555068,2,1.0,0
92,1,3,-0.7364325817002055,4,3,-0.8609980540291694,4,4,1,0,3,1,-0.23013120752175603,0,1,-0.6983868084555068,1,2.0,0
93,0,2,0.25103596496548986,4,2,0.12243568808363414,4,4,2,1,4,3,-1.3643561651780445,2,0,1.0342230879313794,2,1.0,0
94,0,1,-0.7364325817002055,2,0,-0.6793069264969813,3,4,2,0,4,0,1.602078339461479,2,1,-0.6983868084555068,2,1.0,0
95,1,1,2.7197073316297287,0,9,4.4216453238164855,0,1,2,0,4,3,1.9510706341249524,2,0,-0.6983868084555068,2,1.0,0
96,0,3,-0.7364325817002055,4,6,-0.4372845800337594,4,3,1,0,2,2,2.2128148551225575,2,1,-0.6983868084555068,2,1.0,0
97,0,1,-0.24269830836735784,2,9,-0.2245560046121955,1,2,2,0,4,2,-0.14288313385588772,2,1,-0.6983868084555068,2,1.0,0
98,0,1,1.2385045116311852,4,3,-0.3239455849321065,0,4,2,0,4,0,0.031613013475848974,2,1,-0.6983868084555068,2,1.0,0
99,0,1,-0.07812021725640861,3,1,1.3220853593134372,4,3,2,0,4,1,0.031613013475848974,0,0,1.0342230879313794,3,2.0,0
100,0,3,0.25103596496548986,2,0,-0.6266478856959056,1,4,3,0,4,0,0.46785338180519065,2,0,-0.6983868084555068,1,1.0,0
101,0,1,1.2385045116311852,2,3,-0.3288278801057162,0,3,2,0,4,2,-1.015363870514571,2,0,-0.6983868084555068,2,1.0,0
104,0,3,-0.7364325817002055,2,1,-0.28628216502140336,4,1,3,0,4,2,-0.8408677231828344,2,0,-0.6983868084555068,2,1.0,0
105,1,1,0.25103596496548986,4,10,3.0242626980554914,0,2,2,1,3,2,0.29335723447345396,2,1,1.0342230879313794,3,2.0,0
109,0,1,-0.5718544905892563,2,9,-0.6472232724989749,2,4,3,0,2,0,-0.05563506019001937,2,1,-0.6983868084555068,2,1.0,0
110,0,1,-1.2301668550330533,3,9,-0.6336225930867766,1,4,0,0,2,2,-0.4046273548534927,0,1,1.0342230879313794,2,2.0,0
111,0,2,-0.4895654450337817,2,6,-1.0022358786943062,0,1,1,0,4,1,-1.1026119441804394,2,0,-0.6983868084555068,2,1.0,0
112,0,1,-0.24269830836735784,2,0,1.04414326978723,0,3,2,0,3,0,-0.6663715758510977,2,0,-0.6983868084555068,1,1.0,0
113,1,3,1.2385045116311852,4,0,1.600376184209188,0,2,1,0,2,0,-0.9281157968487027,1,1,1.0342230879313794,2,1.0,0
114,0,0,-0.7364325817002055,2,3,-0.5530647227222171,2,4,3,0,1,0,-0.05563506019001937,2,1,-0.6983868084555068,2,1.0,0
115,0,3,2.225973058296881,4,3,0.10883500867143579,4,4,2,0,1,0,0.9913418238004007,2,1,-0.6983868084555068,2,1.0,0
116,1,0,1.732238784964033,2,3,1.3628873975500322,4,3,1,0,3,2,-0.49187542851936106,2,1,-0.6983868084555068,3,1.0,0
117,0,0,-0.9010106728111548,4,2,-0.3954363356885337,4,1,1,1,3,0,-0.753619649516966,2,0,1.0342230879313794,2,1.0,1
120,1,0,0.004168828299066009,2,3,-0.4990107404429673,0,2,1,0,2,0,-0.9281157968487027,2,1,1.0342230879313794,2,1.0,0
121,0,3,0.25103596496548986,4,1,0.20996826583906453,0,4,1,0,2,2,0.46785338180519065,2,0,1.0342230879313794,3,1.0,0
122,0,3,-0.7364325817002055,2,2,-0.522376010202385,0,2,2,0,2,0,-1.015363870514571,2,0,-0.6983868084555068,1,1.0,0
123,0,2,-0.9010106728111548,4,0,-0.8665778199418662,0,4,2,0,4,3,2.387311002454294,2,2,1.0342230879313794,2,1.0,0
124,1,1,-0.24269830836735784,2,2,-0.46797329255359155,4,1,1,0,3,0,-0.753619649516966,2,0,-0.6983868084555068,2,1.0,0
125,0,0,-0.7364325817002055,4,0,-0.3992724247535127,0,2,2,0,2,1,-0.49187542851936106,2,1,1.0342230879313794,2,1.0,0
126,0,0,-0.7364325817002055,2,3,-0.89447664950535,0,2,3,0,2,0,0.3806053081393223,2,1,-0.6983868084555068,1,1.0,0
127,1,1,-0.7364325817002055,2,5,-0.91609824241705,0,2,2,0,2,2,-0.49187542851936106,2,1,-0.6983868084555068,2,1.0,0
128,0,1,-0.7364325817002055,4,1,-0.4902923562043786,0,0,2,0,2,2,-0.14288313385588772,2,1,1.0342230879313794,3,1.0,0
129,1,0,-0.7364325817002055,4,0,0.08128491447749554,0,2,1,1,2,0,-0.5791235021852293,2,1,1.0342230879313794,2,1.0,0
130,0,1,2.225973058296881,2,0,1.82077693776071,4,3,1,0,2,2,-1.015363870514571,2,1,-0.6983868084555068,2,1.0,0
131,1,0,1.2385045116311852,3,6,1.262800346491034,0,2,2,0,3,1,-0.5791235021852293,1,1,-0.6983868084555068,2,1.0,0
132,0,3,-0.4895654450337817,2,2,-0.1945647628314504,0,1,2,0,3,1,-0.753619649516966,0,1,1.0342230879313794,1,1.0,0
133,0,3,-0.24269830836735784,2,2,-0.44704917038097874,0,2,2,0,4,3,0.9913418238004007,0,2,1.0342230879313794,2,1.0,0
134,0,3,3.2134416049625765,2,3,2.398631445094368,1,3,1,0,4,0,-1.2771080915121762,2,1,-0.6983868084555068,2,1.0,0
135,0,3,-0.7364325817002055,4,3,-0.706508285321378,4,4,1,0,2,0,0.20610916080758565,2,1,1.0342230879313794,2,1.0,0
136,0,3,0.4979031016319137,3,1,1.8647175943231968,3,2,2,0,2,2,-0.753619649516966,2,1,1.0342230879313794,2,1.0,0
137,1,1,-0.7364325817002055,2,3,-0.8718088504850194,2,2,2,0,3,0,2.649055223451899,2,1,-0.6983868084555068,1,1.0,0
138,0,1,-0.4895654450337817,4,3,-0.18759005544057947,4,3,2,2,2,0,-0.05563506019001937,0,1,2.7668329843182655,2,1.0,0
139,0,2,-0.7364325817002055,2,3,-0.4829689134439641,0,2,1,0,2,2,0.7295976028027957,2,0,-0.6983868084555068,1,1.0,0
140,0,2,-1.2301668550330533,2,0,-0.8916867665490016,3,1,3,0,2,0,-0.753619649516966,2,1,-0.6983868084555068,0,1.0,1
141,0,1,1.2385045116311852,2,3,0.533245953405933,0,1,1,0,1,3,-0.49187542851936106,2,1,-0.6983868084555068,3,1.0,0
142,0,0,0.4979031016319137,2,3,0.052339878805381115,0,2,2,0,2,2,-0.753619649516966,2,1,-0.6983868084555068,3,1.0,0
143,1,0,-0.24269830836735784,2,2,-0.2803536637391631,0,2,2,0,2,2,-1.1898600178463077,2,1,-0.6983868084555068,2,1.0,0
144,0,3,0.004168828299066009,4,2,-0.3410336180397403,0,1,1,0,4,1,-1.1026119441804394,2,1,-0.6983868084555068,2,1.0,0
145,0,1,2.225973058296881,1,9,0.10465018423691322,1,3,2,0,2,2,-0.49187542851936106,2,1,-0.6983868084555068,2,1.0,0
146,0,0,-1.2301668550330533,4,0,-0.839027725747926,0,4,1,0,4,3,0.29335723447345396,2,1,1.0342230879313794,2,1.0,0
147,0,3,-0.7364325817002055,4,0,-0.9011026215266774,1,3,1,0,3,2,1.340334118463874,2,1,1.0342230879313794,2,1.0,0
148,0,0,1.2385045116311852,4,2,0.7341175262630162,0,2,2,2,2,1,-0.6663715758510977,2,1,1.0342230879313794,2,1.0,0
149,0,3,-0.24269830836735784,4,3,-0.5872407889374848,3,4,2,0,4,2,0.9040937501345323,2,1,1.0342230879313794,2,1.0,0
150,0,3,-1.2301668550330533,2,3,-0.669542336149762,1,4,2,0,4,3,0.555101455471059,0,2,-0.6983868084555068,2,2.0,0
151,0,3,-0.9010106728111548,2,3,-0.46797329255359155,0,2,2,0,4,1,0.20610916080758565,2,1,-0.6983868084555068,2,1.0,1
152,0,2,1.2385045116311852,2,3,0.9004642975352883,0,2,2,0,1,2,-1.015363870514571,2,1,-0.6983868084555068,2,1.0,0
153,0,1,0.25103596496548986,4,1,1.5665488533634637,3,4,1,0,4,3,-0.5791235021852293,2,0,-0.6983868084555068,2,1.0,0
154,0,1,0.25103596496548986,3,9,1.290699176054518,1,3,2,0,4,2,0.031613013475848974,2,0,-0.6983868084555068,3,1.0,0
155,1,0,-0.7364325817002055,2,2,-0.691861399800549,0,2,1,0,4,2,-1.3643561651780445,2,0,-0.6983868084555068,2,1.0,0
156,0,0,-0.9832997183666294,4,5,-0.6897689875832876,1,4,2,2,4,0,1.078589897466269,2,1,1.0342230879313794,2,2.0,1
157,0,0,-0.7364325817002055,1,8,-1.0207188532801141,0,4,3,0,1,2,0.816845676468664,0,1,-0.6983868084555068,1,1.0,0
158,0,1,0.25103596496548986,2,0,0.08581847428156167,1,3,2,0,3,2,0.20610916080758565,0,1,1.0342230879313794,2,1.0,0
159,0,3,-1.2301668550330533,4,3,-0.47704041216172377,4,2,2,0,2,0,-0.14288313385588772,2,1,1.0342230879313794,1,2.0,0
160,0,3,0.25103596496548986,4,3,-0.13737216222630866,1,4,2,0,4,0,0.031613013475848974,2,1,-0.6983868084555068,2,2.0,0
161,0,3,-0.24269830836735784,4,0,-0.7710243286869343,0,1,1,0,1,1,-0.49187542851936106,2,1,1.0342230879313794,2,1.0,0
162,0,3,-0.4895654450337817,2,4,-0.69883610719142,2,3,2,0,3,1,0.031613013475848974,2,1,1.0342230879313794,2,1.0,0
163,0,1,-0.9010106728111548,2,0,1.4096179370688675,0,0,2,0,4,3,2.9980475181153725,0,2,-0.6983868084555068,3,1.0,0
164,0,3,1.2385045116311852,2,0,-0.8219396926402921,2,4,2,0,4,1,0.031613013475848974,2,1,-0.6983868084555068,2,1.0,0
165,0,3,-1.2301668550330533,2,2,-0.10040621305469263,2,2,2,0,2,2,-0.3173792811876244,2,1,-0.6983868084555068,2,1.0,0
168,0,3,0.25103596496548986,2,2,0.24623674427159345,0,3,1,0,4,1,-0.9281157968487027,2,0,-0.6983868084555068,2,1.0,0
169,1,1,0.25103596496548986,4,9,-0.46413720348861254,0,4,0,0,4,0,-0.4046273548534927,2,1,1.0342230879313794,2,1.0,0
170,1,0,-0.4895654450337817,0,0,-0.8076415424890067,0,4,2,0,3,2,-0.23013120752175603,2,0,1.0342230879313794,2,2.0,0
171,0,3,-0.7364325817002055,2,2,-0.87285505659365,0,2,1,0,1,0,-0.8408677231828344,2,1,-0.6983868084555068,2,1.0,0
172,1,1,0.25103596496548986,3,2,-0.4191503408174949,0,0,1,0,2,1,-0.14288313385588772,2,1,-0.6983868084555068,3,1.0,0
173,0,1,-1.065588763922104,2,3,-0.6458283310208007,0,2,2,2,2,0,-0.23013120752175603,2,1,-0.6983868084555068,2,1.0,1
174,1,0,0.004168828299066009,3,6,0.05164240806629402,0,1,2,0,1,1,-0.8408677231828344,2,1,1.0342230879313794,2,1.0,0
175,1,3,0.7447702382983376,1,1,1.4713440974780754,4,0,1,0,1,0,1.5148302657956108,0,1,-0.6983868084555068,3,1.0,0
176,0,0,-0.7364325817002055,2,2,-0.24024909624165514,0,2,0,0,1,2,0.555101455471059,2,1,-0.6983868084555068,2,1.0,0
177,0,0,-1.2301668550330533,4,3,-1.0210675886496576,2,4,2,0,4,2,1.4275821921297425,2,1,1.0342230879313794,2,1.0,0
178,0,3,-0.7364325817002055,2,3,-0.4543726131413932,0,3,2,0,2,2,-0.4046273548534927,2,0,1.0342230879313794,3,2.0,0
179,0,0,0.004168828299066009,4,0,-0.9398122475460111,0,4,2,0,4,0,2.5618071497860306,2,1,1.0342230879313794,2,1.0,0
180,1,3,1.2385045116311852,3,9,2.1991548137154586,0,1,0,0,1,2,-0.6663715758510977,2,1,1.0342230879313794,2,1.0,0
181,1,1,1.2385045116311852,3,9,0.41467592776112683,0,2,0,0,2,0,-0.49187542851936106,1,1,1.0342230879313794,3,1.0,0
182,1,0,0.004168828299066009,1,0,-0.5645729899171542,4,2,2,0,2,1,0.3806053081393223,2,1,1.0342230879313794,1,2.0,0
183,0,3,0.25103596496548986,4,2,0.17823334721060172,3,2,2,0,4,0,1.2530860447980057,2,1,-0.6983868084555068,2,1.0,0
184,1,1,-0.24269830836735784,4,0,-0.8306580768788808,0,4,2,0,4,2,0.031613013475848974,0,1,-0.6983868084555068,2,2.0,0
185,0,3,-0.4895654450337817,4,3,-0.6646600409761523,0,2,2,0,2,1,-0.4046273548534927,2,1,1.0342230879313794,2,1.0,0
186,1,1,-0.9832997183666294,1,1,0.6497235668334778,0,4,1,0,4,3,3.3470398127788457,0,2,-0.6983868084555068,3,2.0,0
187,0,1,-0.40727639947830707,4,0,-0.7291760843417086,0,0,2,0,3,2,2.823551370783636,2,2,2.7668329843182655,0,1.0,0
188,1,0,-0.7364325817002055,2,3,-0.9038925044830258,1,3,3,0,1,1,-1.3643561651780445,2,1,-0.6983868084555068,2,1.0,0
192,1,1,0.4979031016319137,2,9,0.22635882820761125,0,2,2,0,2,2,0.031613013475848974,2,1,-0.6983868084555068,2,2.0,0
193,0,3,-1.2301668550330533,2,3,-0.4038059845575788,0,3,3,0,2,0,-0.5791235021852293,2,0,-0.6983868084555068,2,1.0,0
194,1,1,1.979105921630457,2,3,-0.08192323846888462,1,2,2,2,4,1,-1.2771080915121762,2,0,-0.6983868084555068,2,1.0,0
195,1,1,-0.9832997183666294,4,6,-0.6154883538705122,0,4,1,0,3,2,-0.14288313385588772,2,1,1.0342230879313794,3,1.0,0
196,0,3,-1.2301668550330533,4,3,-0.6569878628461943,0,2,1,0,1,2,-0.6663715758510977,2,1,1.0342230879313794,2,1.0,0
197,1,1,-0.7364325817002055,2,2,-0.8072928071194632,1,1,1,0,4,2,-0.753619649516966,0,0,4.499442880705152,2,1.0,0
198,0,1,0.25103596496548986,2,1,-0.17643052361518596,4,4,2,0,4,3,0.031613013475848974,0,2,-0.6983868084555068,2,1.0,0
199,1,1,-0.24269830836735784,3,2,0.35957573937324633,0,4,0,0,3,3,0.3806053081393223,2,1,-0.6983868084555068,3,1.0,0
200,0,3,-0.9832997183666294,4,6,-0.8125238376626164,2,4,2,0,2,2,1.4275821921297425,2,1,1.0342230879313794,2,1.0,0
201,0,0,-0.7364325817002055,2,0,-0.7316172319285134,0,2,3,0,3,0,-0.753619649516966,2,1,-0.6983868084555068,1,1.0,0
202,0,3,0.4979031016319137,3,9,0.6455387423989551,0,3,2,0,4,2,-0.8408677231828344,2,1,1.0342230879313794,2,1.0,0
203,1,0,-0.7364325817002055,2,8,-0.824380840227097,0,3,3,0,4,1,-1.2771080915121762,2,0,-0.6983868084555068,2,1.0,0
204,0,3,-0.7364325817002055,4,0,-0.6175807660877733,0,4,2,0,1,0,0.20610916080758565,2,1,1.0342230879313794,1,2.0,0
205,0,0,0.7447702382983376,4,1,2.565675687105727,0,4,2,0,4,3,0.20610916080758565,2,2,2.7668329843182655,3,2.0,0
206,0,3,-0.7364325817002055,4,2,-0.46413720348861254,0,4,2,0,4,0,0.6423495291369273,2,1,2.7668329843182655,2,1.0,0
207,0,1,-0.7364325817002055,4,4,-0.6423409773253652,0,3,2,0,3,1,-0.8408677231828344,2,1,-0.6983868084555068,2,1.0,0
208,0,0,0.25103596496548986,2,9,1.1515537636066424,0,2,3,0,2,2,-1.2771080915121762,1,1,-0.6983868084555068,1,1.0,0
209,0,3,-0.7364325817002055,2,1,-0.6461770663903442,3,3,2,0,2,1,1.6893264131273473,2,1,-0.6983868084555068,2,1.0,1
210,0,3,-0.9832997183666294,4,3,-0.06692761757851208,4,2,2,0,2,0,-0.23013120752175603,2,1,1.0342230879313794,2,2.0,0
211,0,3,1.2385045116311852,2,3,0.19845999864412747,4,4,1,0,4,0,0.816845676468664,2,1,-0.6983868084555068,1,1.0,0
212,1,0,0.4979031016319137,0,9,0.7069161674386195,0,0,2,0,4,1,1.2530860447980057,1,1,1.0342230879313794,2,1.0,0
213,1,2,0.7447702382983376,3,9,-0.4735530584662883,0,4,2,0,4,0,2.649055223451899,2,1,-0.6983868084555068,3,1.0,0
214,0,3,1.2385045116311852,4,3,0.02653346145915861,4,4,2,0,2,2,1.340334118463874,2,1,-0.6983868084555068,2,1.0,0
215,0,1,-1.2301668550330533,4,8,-0.8139187791407906,4,3,1,0,3,1,0.29335723447345396,2,1,1.0342230879313794,1,1.0,0
216,0,0,-0.24269830836735784,0,9,-0.056465556492205665,0,3,2,0,1,1,-0.4046273548534927,0,1,-0.6983868084555068,2,1.0,0
217,0,2,1.2385045116311852,2,3,0.22566135746852417,0,2,2,0,2,0,-1.1026119441804394,2,1,-0.6983868084555068,2,1.0,0
